"doc","language"
"Nemrég jött ki a börtönből.","hun"
"Том не беше на срещата.","bul"
"Perché non le lascia andare?","ita"
"Я могу пойти поиграть?","rus"
"Rarely do I listen to the radio.","eng"
"Beni koruyabilir misin?","tur"
"Те молам донеси ми шолја чај.","mkd"
"Olen raskaana.","fin"
"Para minha grande surpresa ela me olhou fixamente e riu.","por"
"O teu carro, a cor dele é preta?","por"
"Bunu için seni suçluyorum, Tom.","tur"
"Er war von dem Gedanken besessen.","deu"
"Elle a ôté ses lunettes de soleil.","fra"
"Ĉu ŝi bonvolas sendi al mi broŝuron?","epo"
"Δεν τα έχω δώσει ακόμη στον Τομ.","ell"
"Германия мне как второй дом.","rus"
"Un año tiene cuatro estaciones.","spa"
"Wissen ma ad d-tafeḍ tunẓart-a?","kab"
"Soha nem láttam még Tomot eddig ittasan.","hun"
"你鍾唔鍾意唱聖誕歌呀？","yue"
"Tom has grown a beard.","eng"
"Ne nia estas ĉio tio, kio nin forlasas.","epo"
"Becsületes.","hun"
"Lucy potrebbe essere in grado di aiutarti, se non riesci a cucinare la cena per dieci persone da sola.","ita"
"Non sono la sola canadese nella stanza.","ita"
"Ich sehe keinen Grund zur Beunruhigung.","deu"
"Qual è stato il suo primo cellulare?","ita"
"Na nic nesahej!","ces"
"L'école commence en septembre en Europe.","fra"
"Zij stelt slechts belang in vissen en kakkerlakken.","nld"
"Goed, bedaar allemaal en vertel me: wat is er gebeurd?","nld"
"Também estava preocupado.","por"
"Minä luen.","fin"
"Oggi devo andare a casa più presto del solito.","ita"
"Conozco la historia de cabo a rabo.","spa"
"Наступит день, когда мы сможем предсказывать землетрясения.","rus"
"C'è abbastanza salsa?","ita"
"Цитирај ми пример.","mkd"
"Es ist interessant, die hier ablaufenden gruppendynamischen Prozesse zu beobachten.","deu"
"Oldukça iyi görünüyorduk.","tur"
"O livro é muito interessante.","por"
"Vocês estão no caminho certo.","por"
"彼女は以前、とても恥ずかしがり屋の女の子だった。","jpn"
"Boston'dan buraya taşındım.","tur"
"Holst du mich morgen früh ab?","deu"
"La figlia maggiore di Tom non è ancora sposata.","ita"
"Rappelle-moi cela !","fra"
"Вы ничего нам не должны.","rus"
"Mi mást kellene tennem?","hun"
"תום פשוט עמד שם.","heb"
"tenpo ni la mi ken ala kama.","toki"
"Tom'un onun hakkında endişelenmesine gerek yok.","tur"
"Vidd ezt!","hun"
"Tom ha finto di non sentire nulla.","ita"
"Saya bisa berbicara bahasa Inggris sedikit.","ind"
"Bob se pressa de revenir à la maison pour regarder l'émission de télé.","fra"
"Tom tahtoo suuremman toimiston.","fin"
"Os doze animais dos signos do zodíaco chinês provêm de onze tipos de animais que encontramos na natureza: o rato, o boi, o tigre, o coelho, a serpente, o cavalo, o carneiro, o macaco, o galo, o cachorro e o porco, e do mitológico dragão; eles são utilizados como calendário.","por"
"Hij heeft tientallen boeken over Japan.","nld"
"Wen man auch fragt — man erhält keine zufriedenstellende Antwort.","deu"
"Os ricos não estão sempre felizes.","por"
"Том ушёл в бега.","rus"
"Nella neɛya.","ber"
"Tio estis granda surprizo.","epo"
"Temos uma reserva para seis e meia.","por"
"Чем дольше я продолжал идти, тем сильнее становилось чувство, что я кругами хожу по одним и тем же местам.","rus"
"Państwo zwycięskie podyktowało warunki pokoju zwyciężonemu.","pol"
"I swear I saw a tardigrade waving to me!","eng"
"Pensé que era solo una metáfora.","spa"
"Perché hai bisogno di questi soldi?","ita"
"Tom ona değinmedi bile.","tur"
"Ti amerò sempre.","ita"
"Я в другой машине скорой помощи!","rus"
"Warum seid ihr noch hier?","deu"
"Os aromas têm sido utilizados pela humanidade desde seus primórdios, e esta prática chegou a levar certas espécies vegetais e animais, fontes originais daquilo que hoje chamamos de essências, à beira da extinção.","por"
"私は、まもなくあなたに会う事を心待ちにしています。","jpn"
"Kihez szólt a levél?","hun"
"ロイは両親を出迎えるのに空港に急ぐ必要はなかったのに。","jpn"
"Almanya orman kanunu ile yönetilmez ama hukukun üstünlüğü ile yönetilir.","tur"
"Sleep's the best thing for him.","eng"
"Tom ist mit mir in ein nettes Restaurant gegangen.","deu"
"Быть астронавтом очень тяжело, а иногда и очень опасно.","rus"
"En contestación, Lisa me pidió que calculara 100 factorial de cabeza.","spa"
"Tom mówił niegrzecznie.","pol"
"Es una familia tranquila.","spa"
"Queria ter ido para Boston com o Tom.","por"
"Nenio el tio bonas.","epo"
"Maɣef ur tessawḍed ara ad tged aya?","ber"
"Ви знаєте, як це називається французькою?","ukr"
"Ось ваше меню.","ukr"
"Nous avons toutes été effrayées.","fra"
"Das Problem ist überhaupt nicht einfach.","deu"
"Il me poussa du coude à poursuivre.","fra"
"Tom tüm hayatı boyunca bekardı.","tur"
"Поедем на автобусе.","rus"
"Bizonytalan a holnap.","hun"
"Li tre interesiĝas pri japana historio.","epo"
"Tom bulmacayı çözmeye çalıştı.","tur"
"У моих родителей четверо детей: я и три моих брата.","rus"
"אנו רוצים להיות מציאותיים.","heb"
"Marie ha avuto delle nausee.","ita"
"Não podemos pagar o motorista de táxi se não temos dinheiro algum.","por"
"Моцарт — один з моїх улюблених композиторів.","ukr"
"なるほど彼は若いが、良識に富んでいる。","jpn"
"Tomás parece nervioso.","spa"
"Pasé cinco días en aquel pozo inmundo. En ese momento, mi única solución fue rezar.","spa"
"Ми собрале работи од џебот.","mkd"
"Questo è uno dei miei luoghi preferiti.","ita"
"マッチ棒の頭にそれらは５個のせることができるくらいです。","jpn"
"Tom, te hazug vagy.","hun"
"Tom túl sokat eszik.","hun"
"Tomo ludantas en la ĝardeno.","epo"
"Tränen traten Maria in die Augen, als sie die Nachricht von Tom las, auf der stand, dass er sie verlassen hatte.","deu"
"Saksassa ihmiset voivat mennä naimisiin vain maistraatissa.","fin"
"Mis gepatroj mortis, kiam mi estis tre juna.","epo"
"ביתה הפכה לאישה יפה.","heb"
"O bir şüpheliyi kilitledi.","tur"
"Ей было приятно, что с ней обращаются как с гостем.","rus"
"Tudo bem. Vou embora.","por"
"这本书多少钱？","cmn"
"Слово ""злой"" — единственное односложное русское прилагательное.","rus"
"Mary lied to Tom when she told him she wasn't married.","eng"
"彼は馬を急がせた。","jpn"
"Ты же знаешь, что Том любит пиво.","rus"
"Sanırım bizimle gitmekle ilgilenmiyorsun.","tur"
"Rostetigu ĉiuflanke super mezvarma fajro dum kvar ĝis kvin minutoj.","epo"
"Laukku, jonka jätin auton etupenkille, on poissa!","fin"
"Sie schnitt den Apfel in zwei Hälften.","deu"
"Dat doet me deugd!","nld"
"Сколько тебя ещё ждать?","rus"
"私は彼女に読むための漫画の本をあげた。","jpn"
"我得写书。","cmn"
"Красивый цветок, правда?","rus"
"Tom und Maria halten Händchen.","deu"
"Per ora mi sembra che tu abbia visto un'altra partita.","ita"
"Япония импортирует бо́льшую часть необходимых ей энергоресурсов.","rus"
"Mary couldn't find her son.","eng"
"Statskuppet mislykkedes.","dan"
"Somebody tipped off the gang members to the police surveillance.","eng"
"Attach the two cables together.","eng"
"Eu não me importaria se Tom fizesse isso.","por"
"Ты сел не на тот поезд.","rus"
"Ki küldte neked a rózsákat?","hun"
"Ich bin eben auf einem Berggipfel angekommen. Das ist sehr überraschend, da laut meiner Karte hier ein See sein soll.","deu"
"Iban kan la tettxemmimem dakken nekk d tazulalt.","ber"
"You should have come home before.","eng"
"Esse trem chega em Chicago às 21 horas.","por"
"Dan ne va pas mourir.","fra"
"我想一品脱啤酒。","cmn"
"Experience means nothing because you could do your thing badly for 35 years.","eng"
"Ей пришла в голову хорошая идея.","rus"
"Почему бы вам не пойти с ними?","rus"
"Op de velden rond het dorp groeien gerst en tarwe.","nld"
"Je lave tes pommes.","fra"
"Tesseww-d aɣrum ed yengulen deg ufarnu-nni.","ber"
"Я стараюсь быть гостеприимной.","rus"
"آماده‌ام کمک‌تان کنم.","pes"
"We have so many students.","eng"
"Garçom, este copo está quebrado.","por"
"¿Qué estabas haciendo en ese momento?","spa"
"I want to know who you're going to the dance with.","eng"
"Tämä on helppo lause.","fin"
"Why not just call the police?","eng"
"彼は剣で殺された。","jpn"
"Я спросил у Тома, не хочет ли он повести машину.","rus"
"Kapı açıldı ancak sonra kapandı.","tur"
"Tom said good night to Mary and left.","eng"
"El porcentaje más rico de la población no solo domina a Estados Unidos, sino que pronto dominará a todo el mundo.","spa"
"Chi sta leggendo?","ita"
"Te megpróbáltad.","hun"
"Tom told the waiter that he wanted sit by the window.","eng"
"I finished building my Gundam model. I feel so lonely.","eng"
"Multaj legantrecenzoj de libroj en Amazon estas falsaĵoj.","epo"
"jan li pali e ijo, la jan li pali e sitelen sama.","toki"
"Elles ont accablé Tom d'injures.","fra"
"C'è qualcuno con lei.","ita"
"Il muschio negli alberi non sempre cresce rivolto verso nord.","ita"
"Том не знает разницы между речью и языком.","rus"
"What do you need to buy?","eng"
"Eu gosto muito de estudar francês.","por"
"Tom'un mavi ananasını seviyorum.","tur"
"Oda menj, ahol senki sem ismer.","hun"
"Dame un cuarto de kilo de costillas.","spa"
"Tom und Maria haben alles, was sie brauchen.","deu"
"Kelkaj kritikemuloj intervenis, kiam mi petis ŝin edzigi min.","epo"
"Je suis enchanté d'avoir fait votre connaissance.","fra"
"Знаешь, почему я этого не сделал?","rus"
"In augusto Riedka commandava nos de mover al linea ferroviari.","ina"
"His idea is not good.","eng"
"Allah mübarek eylesin.","tur"
"Bilal yedda ɣer uɣerbaz.","ber"
"Ha nagy pénzekről van szó, senkiben nem tanácsos megbízni.","hun"
"Lui ha riparato il suo ferro da stiro.","ita"
"Вы не можете просить меня это сделать.","rus"
"I get depressed sometimes.","eng"
"Me picaron las abejas pero me comí el panal.","spa"
"How do we know this isn't the real one?","eng"
"Pardonon, mi misklakis la numeron!","epo"
"Ona bankanın kapalı olduğunu söyledim.","tur"
"O que tinha sido perdido foi reencontrado!","por"
"Bu eldivenler benimdir.","tur"
"नोव्हेंबरच्या उत्तरभागात, त्यांनी फिनलंडवर हल्ला केला.","mar"
"Az évek múlnak.","hun"
"Debo ir algún día u otro.","spa"
"אני אוהבת לבשל.","heb"
"Make a left here.","eng"
"Том всегда очень занят.","rus"
"Nous tous prévoyons de le faire.","fra"
"Mi tía disfrutó de buena salud durante toda su vida.","spa"
"Tom si scusò per le sue parole.","ita"
"Il rumore mi ha svegliata.","ita"
"Vidigu ŝin al mi.","epo"
"Eles estão trancados.","por"
"אנו אבודים.","heb"
"Je ne suis pas patiente.","fra"
"この雑誌を読みたいですか。","jpn"
"Doktor köyde herkes tarafından tanınıyor.","tur"
"Li dehakas arbojn sur la monto.","epo"
"Ik kan het niet, zelfs als ik het zou willen.","nld"
"Tomo kaj Mario neniam diris al mi, ke ili estis geedziĝintaj.","epo"
"Nrennu imedyaten s yilsawen ay nessen.","ber"
"Ich bin kein kleines Mädchen mehr.","deu"
"I never walk anywhere.","eng"
"Как известно, борода согревает в холода.","rus"
"¿Os podéis levantar?","spa"
"לא הייתה לנו ברירה אלא לעזוב.","heb"
"A tettek többet érnek, mint a szavak.","hun"
"Si mecum loqui vis, adi me per telephonum.","lat"
"I saw him last night.","eng"
"Hvilket skod sted!","dan"
"Karısı, Castelli ailesinin bir üyesi.","tur"
"Domani molto probabilmente pioverà.","ita"
"מאה איש לערך נספו בתאונה הזאת.","heb"
"Face à la capitulation, la mort est un moindre mal.","fra"
"Wir haben, weil sie von innen verschlossen war, die Tür nicht öffnen können.","deu"
"Ĉu vi bezonas sekundon?","epo"
"Welke landen heb je bezocht?","nld"
"Non andiamo in vacanza in Sicilia.","ita"
"Szörnyű elviselni ennek a macskának ezt a keserves nyávogását!","hun"
"A madeira boia.","por"
"Hanno mai visitato l'Uruguay?","ita"
"Tiu knabo tuj legis sian tezon.","epo"
"Annoiarsi è un peccato.","ita"
"Biri perdeleri kapatabilir mi?","tur"
"הגיע הזמן שנלך.","heb"
"Sea breve.","spa"
"Non sarà in grado di vedere Tom oggi.","ita"
"I wish you'd stay in Australia for another week or two.","eng"
"Mi mem finis la laboron.","epo"
"Kia estas la ĉevalo?","epo"
"Kanado situas en Norda Ameriko.","epo"
"J'ai beaucoup d'argent sur mon compte épargne.","fra"
"Tom told me Mary was his girlfriend.","eng"
"语言是人类特有的。","cmn"
"Я иногда пою по-французски.","rus"
"Tom'a bu gece telefon edeceğim.","tur"
"Sessizlik nasıl görünüyor?","tur"
"Вооружани ли сте?","mkd"
"I want this work done by next Thursday.","eng"
"Abbiamo ancora molta strada da fare.","ita"
"Tom iş aramaya başladı.","tur"
"I'm wealthy.","eng"
"Die Riemannsche Vermutung konnten auch Computer bisher nicht widerlegen.","deu"
"I'm so worried.","eng"
"People are apt to take it for granted that the professor can speak English.","eng"
"Elle n'avait aucune hésitation à être violente envers ses enfants.","fra"
"Wat hess du seggt? ""Nix heff ik seggt.""","nds"
"Цей документальний фільм був озвучений Девідом Аттенборо.","ukr"
"Кстати, где ты живешь?","rus"
"Why do you want to leave today?","eng"
"Nous enverrons le livre par la poste.","fra"
"Мислиш ли дека ги убедивме?","mkd"
"We do not have a fir tree.","eng"
"Siamo bionde.","ita"
"Я слышал, что он умер.","rus"
"Tom is preparing supper.","eng"
"Küldje nekem a számlát.","hun"
"Я не знаю, куда ты пойдёшь.","rus"
"如果你不错过火车，你就能准时到达那里。","cmn"
"Mi ĉiam malgajnas.","epo"
"Eligu nin de ĉi tie!","epo"
"Tom hâlâ ayakta mı?","tur"
"I connettori permettono di capire la logica di un testo.","ita"
"Quem nasce nos Estados Unidos é norte-americano.","por"
"Sie sprechen beständig von ihrem wohl gefestigten und weithin bekannten Ruhm.","deu"
"I was surprised to learn that the library had only about four thousand books.","eng"
"Perché non ha provato a chiamarli?","ita"
"Da der letzte Bus schon abgefahren war, musste ich ein Taxi nehmen.","deu"
"Il me faut lire certaines choses.","fra"
"Lei e Tom avete litigato?","ita"
"Prestame tu bicicleta.","spa"
"Teoretic, fac calcule.","ron"
"Fadil is cooking.","eng"
"Tom, Mary'nin neden bahsettiğini bilir.","tur"
"Бев длабоко засрамен.","mkd"
"昨日何を言ったの。","jpn"
"Singapore è chiamata ""Singapura"" in malay.","ita"
"Aslında ona bir kart yazdım.","tur"
"No one will believe us.","eng"
"Μου αρέσουν πολύ τα σκυλιά.","ell"
"L'art est une provocation. Il est une invitation à la réflexion.","fra"
"La eldiro povus esti trompa.","epo"
"I'm supposed to help Tom.","eng"
"O, çocuğu soydu ve onu banyoya koydu.","tur"
"Erfolg besteht darin, dass man genau die Fähigkeiten hat, die im Moment gefragt sind.","deu"
"Είμαστε Αυστραλέζες.","ell"
"Bone paroli angle kaj ""scii la anglan lingvon perfekte"" estas absolute diversaj aferoj.","epo"
"Lei ha guadagnato tremila euro in una sera.","ita"
"私は窓の下枠をペーパータオルで拭いた。","jpn"
"Я даже рада, что это мне говоришь ты, а не он; я бы не выдержала ещё одной встречи с ним.","rus"
"I shivered with cold when I went outside.","eng"
"その歌を聴くと子供の頃を思い出す。","jpn"
"Nasi yang pulen susah ditemukan di warteg.","ind"
"Силён как лев, так будь и хитёр как лиса.","rus"
"Annem bisiklet süremez.","tur"
"Tavo duoti marškiniai man puikiai tinka.","lit"
"Anche Tom era veloce.","ita"
"Wyszliśmy w deszczu, ale jak wróciliśmy, świeciło słońce.","pol"
"Я в пижаме.","rus"
"Vi fine estos Junia edzino, ĉu ne?","epo"
"This building has several empty apartments.","eng"
"Него за малко да го убият.","bul"
"Ti sei ricordato di ringraziare Tom?","ita"
"Har du pratat klart nu?","swe"
"The sun is shining and the birds are singing.","eng"
"Kra n yeẓra iɣlayanen ttemcabin aṭas ɣer wureɣ.","ber"
"Soha nem hallottam, hogy Tom ilyet mondott volna.","hun"
"Sinds dat ongelukkig voorval ben ik hier niet meer geweest.","nld"
"Ho! Tio estas bona!","epo"
"I love rainy days.","eng"
"jan Tone o sina wile tawa la mi kin tawa.","toki"
"Questo è un grave disastro ambientale.","ita"
"Tom vidis nur ĝis la pinto de sia nazo.","epo"
"Avant de maîtriser une langue, on doit la massacrer.","fra"
"Preciso de ir à sede do clube.","por"
"Mary says she doesn't think Tom wants to do that.","eng"
"אתה בצרות גדולות.","heb"
"Büyük sayıda yeni esperantistler beni mutlu ediyor.","tur"
"In diesen ruhigen Wäldern ist das Jagen verboten.","deu"
"Он всегда добавляет новую информацию в своих переводах.","rus"
"J'ai décidé de devenir membre des pompiers bénévoles.","fra"
"Mi kapablas instrui al vi kiel fari tion.","epo"
"הוא הציג נימוקים בעד מלחמה.","heb"
"Gelmeni istemedim.","tur"
"Том можеше да познае дека Мери плачела.","mkd"
"Even if you don't want to, you have to go.","eng"
"I thought you had enjoyed the experience.","eng"
"תום אמר שאפשר לתקן את זה.","heb"
"Le nom de l'auteur nous est familier.","fra"
"Mancherà.","ita"
"I'm surprised Tom doesn't have a girlfriend.","eng"
"Какого цвета его свитер?","rus"
"Tomoko hätte fast angefangen zu weinen.","deu"
"Nezdráhej si říct, když budeš něco chtít.","ces"
"Her gün yüzmeye giderim.","tur"
"Me boli acua.","lfn"
"La juĝisto sciigis min, ke mi ne bezonas respondi iun ajn demandon.","epo"
"Tom è un veterano del Vietnam.","ita"
"הבשר הזה טוב.","heb"
"Jak długo jesteście rozwiedzeni?","pol"
"Onu Tom kadar iyi yapamadım.","tur"
"J'ai contracté un mauvais rhume.","fra"
"Me va destrui la mur con un colpa sola.","lfn"
"Tom wusste nicht, wie er das Wort „Computer“ übersetzen sollte, weil die Menschen, mit denen er sprach, noch nie einen gesehen hatten.","deu"
"Hier, j'ai un peu trop fait la fête.","fra"
"Lui non ci vede nulla di male.","ita"
"Marcos se arrepiente de su error.","spa"
"Jeszcze nie przyszli.","pol"
"Що ти робиш після обіду?","ukr"
"Tom hatte es eilig zu heiraten.","deu"
"Los mentirosos tienen que tener una buena memoria.","spa"
"Поверить не могу, что ты действительно это сказал.","rus"
"Tom se servit à boire.","fra"
"Denna boken skrivs på albanska.","swe"
"Tom Noel için ne istediğini hiç sana söyledi mi?","tur"
"דליקת יער קטנה עלולה להתפשט בקלות להתלקחות אש ענקית.","heb"
"He is glad to hear the news.","eng"
"Нам обоим не повезло.","rus"
"Do you mean that Tom has never told you that he loved you?","eng"
"Mi ne sciis, ke vi estis parencaj.","epo"
"Már női hajóskapitányok is vannak.","hun"
"Tom got on the bus.","eng"
"Tom'un satın alması gereken bir sürü şey vardı.","tur"
"Tom yella yettban-d yeḥzen.","ber"
"מצאתי את מה שחיפשתי במגירות.","heb"
"Az oroszlán a dzsungel királya.","hun"
"As time goes on, my life gets worse and worse.","eng"
"There's never a dull moment with Tom.","eng"
"תרגע תום, אתה מסתדר מצוין.","heb"
"Я понятия не имею, что здесь происходит.","rus"
"Onun eğlenmesine izin ver.","tur"
"Yo seré tu aliado pase lo que pase.","spa"
"Jam longe mi amas vin, neniam mi forgesos vin.","epo"
"Ты спряталась под столом.","rus"
"Nemi betegségem van.","hun"
"John trabaja duro.","spa"
"Dato che nessuno aveva altro da dire, la riunione è stata chiusa.","ita"
"Вы знакомы с каким-нибудь волшебником или волшебницей?","rus"
"Usted bebe té.","spa"
"Sta peggiorando sempre di più.","ita"
"Три года назад она получила диплом магистра.","rus"
"Posso voar.","por"
"Это самодельное шило.","rus"
"Tiu lando suferas pro la dizerto de siaj intelektuloj.","epo"
"Se compreendi você corretamente, você quer romper comigo!","por"
"Je suis totalement d'accord avec ce qu'elle a dit.","fra"
"Как ты переносишь эту жару?","rus"
"Ich huste gerade.","deu"
"Onu sana zaten söyledim.","tur"
"עצור או שאני אעצור את הרכב בצד!","heb"
"Siete coraggiose.","ita"
"There's no one missing.","eng"
"Beni neden sevmediğini anlamıyorum.","tur"
"Почему ты хочешь пойти со мной?","rus"
"Máš dobrou náladu?","ces"
"Da li su oni svesni da smo u bezizlaznoj situaciji?","srp"
"Sali subito di sopra e sistema la tua camera.","ita"
"Ha annunciato il suo fidanzamento con lui.","ita"
"Der Regen machte es unmöglich für uns, picknicken zu gehen.","deu"
"Tom não tem medo de ninguém.","por"
"Tom said that he thought that Mary was interested in doing that.","eng"
"Déli szél fúj.","hun"
"Mi fieras akcepti en mia urbo tiom da junaj talentuloj.","epo"
"You don't think we'll do that, do you?","eng"
"Er hat den jungen Mann unter Einsatz seines Lebens vor dem Ertrinken gerettet.","deu"
"Large areas were deforested.","eng"
"Mi petis Tomon kanti unu-du kantojn.","epo"
"Az esélyét latolgatjuk.","hun"
"Тя напредва с английския.","bul"
"Liɣ tuksi n iliwey.","ber"
"Том нема морални вредности.","mkd"
"Sana planlarım olduğunu söyledim.","tur"
"I don't like the food here.","eng"
"Non mentii a loro.","ita"
"Io sono solo felice quando piove.","ita"
"Not kennt kein Gesetz.","deu"
"In fact, I already have heartburn even though I ate only one jelly doughnut.","eng"
"Пожалуйста, позволь мне пойти с тобой.","rus"
"その遺言は法廷で無効と宣告された。","jpn"
"Мэри думает, что вы созданы друг для друга.","rus"
"Washington ist die Hauptstadt der Vereinigten Staaten.","deu"
"Bu işi siz olmadan yapamam.","tur"
"Yesserser usawal, maca ula d yiwen ur t-yerfid.","ber"
"Willst du wirklich Kinder haben?","deu"
"Ilia aviadilo baldaŭ forflugos.","epo"
"Non sei cambiato e non lo farai mai.","ita"
"Torony magasságban áll fivére felett matematikából.","hun"
"Mi havas neniun malfacilaĵon prononci tiun vorton.","epo"
"Sauve-toi !","fra"
"Sie wollen, dass wir unser Gehirn waschen.","deu"
"Finfine, la plano fiaskis.","epo"
"У всех нас есть свои приказы.","rus"
"I knew Tom wouldn't eat that.","eng"
"Onların hepsini yakalayacağım.","tur"
"Voy a hablar con ella sobre eso directamente.","spa"
"Tom kapıyı açtı ve içeri girdi.","tur"
"Utíkejte, nebo přijdete pozdě do školy.","ces"
"Can you just shut up, please?","eng"
"For pity's sake hold your tongue, said Marilla. ""You talk entirely too much for a little girl.""","eng"
"彼はサーフィンにすっかり夢中だ。","jpn"
"S'il te plaît ne laisse pas des choses de valeur ici.","fra"
"Ĉu vi havas plantojn en via loĝejo?","epo"
"Tom pensa che Mary vorrà farlo.","ita"
"Di che nazionalità erano le tue professoresse? ""Nigeriana.""","ita"
"Tom'un ölmüş olduğuna inanamıyorum.","tur"
"The car raced past the farm.","eng"
"Keşke bizi yalnız bıraksalar.","tur"
"Jakie piękne niemowlę!","pol"
"Zorluklar yıldırıcı ama biz bunları aşabiliriz.","tur"
"Tom was doing that, but Mary wasn't.","eng"
"Nenhuma ideia é absolutamente válida.","por"
"Bir taneye sahip olmalı mıyım?","tur"
"Tu sai davvero dove abita?","ita"
"तुम्हाला मी ऐकू येतेय का?","mar"
"I can stand all day without getting tired.","eng"
"Er entschied sich, Arzt zu werden.","deu"
"Төлке дога кылганда казларыңа күз-колак бул.","tat"
"Tome este remédio e você ficará bem.","por"
"Јасно си го памтам детството.","mkd"
"Estoy rompiendo mis zapatos nuevos.","spa"
"La vostra borsa è sulla mia scrivania.","ita"
"Når jeg ser på dette fotografi mindes jeg altid mine lykkelige dage på landet.","dan"
"Ondan Tom'da hiç yok.","tur"
"Том си најде нова работа.","mkd"
"A minha esposa é médica.","por"
"Tom needed the money.","eng"
"La estonteco, fantomo kun malplenaj manoj, kiu promesas ĉion, kaj havas nenion!","epo"
"Eles vieram juntos.","por"
"הוא התחיל לפחד.","heb"
"Tom finally managed to persuade Mary to help him.","eng"
"Még labdát sem tudsz passzolni.","hun"
"Ha preso 85 all'esame.","ita"
"У нього було більш ніж достатньо грошей.","ukr"
"Tom really likes to do that.","eng"
"Burada olmamın nedeni odur.","tur"
"Tom hat mein Auto.","deu"
"Vi venas tro malfrue al la instruo.","epo"
"Ты всё время работаешь.","rus"
"توم لايشاهد التلفاز","ara"
"I told Tom that we could trust you.","eng"
"Tom gave Mary a pedicure.","eng"
"Doğru olabilir ya da olmayabilir.","tur"
"Lei non può permettersi di trascurare la sua salute.","ita"
"Meine Katze schnurrt, wenn ich sie hinter dem Ohr kraule.","deu"
"Я хотел быть Томом.","rus"
